label,points,ratio
1,"[((166, 180), (179, 149)), ((179, 149), (190, 119)), ((190, 119), (203, 70)), ((203, 70), (221, 51)), ((166, 180), (106, 185)), ((106, 185), (70, 149)), ((70, 149), (57, 136)), ((57, 136), (45, 113)), ((166, 180), (136, 179)), ((136, 179), (82, 131)), ((82, 131), (63, 106)), ((63, 106), (45, 82)), ((166, 180), (142, 161)), ((142, 161), (94, 113)), ((94, 113), (75, 88)), ((75, 88), (58, 70)), ((166, 180), (160, 143)), ((160, 143), (118, 95)), ((118, 95), (100, 82)), ((100, 82), (76, 64))]","(37, 40, 198, 194)"
2,"[((75, 150), (70, 113)), ((70, 113), (69, 71)), ((69, 71), (75, 33)), ((75, 33), (65, 7)), ((75, 150), (60, 103)), ((60, 103), (111, 76)), ((111, 76), (158, 71)), ((158, 71), (169, 60)), ((75, 150), (75, 129)), ((75, 129), (122, 92)), ((122, 92), (158, 76)), ((158, 76), (189, 81)), ((75, 150), (91, 150)), ((91, 150), (133, 113)), ((133, 113), (168, 92)), ((168, 92), (185, 87)), ((75, 150), (107, 166)), ((107, 166), (132, 150)), ((132, 150), (153, 135)), ((153, 135), (174, 119))]","(13, 3, 186, 230)"
3,"[((162, 175), (179, 151)), ((179, 151), (191, 121)), ((191, 121), (203, 74)), ((203, 74), (226, 56)), ((162, 175), (120, 187)), ((120, 187), (79, 158)), ((79, 158), (67, 145)), ((67, 145), (55, 122)), ((162, 175), (144, 187)), ((144, 187), (91, 139)), ((91, 139), (68, 115)), ((68, 115), (50, 92)), ((162, 175), (149, 169)), ((149, 169), (103, 116)), ((103, 116), (85, 97)), ((85, 97), (62, 80)), ((0, 0), (0, 0)), ((0, 0), (0, 0)), ((126, 98), (108, 86)), ((108, 86), (85, 68))]","(43, 43, 196, 187)"
4,"[((65, 159), (70, 112)), ((70, 112), (70, 65)), ((70, 65), (70, 44)), ((70, 44), (81, 28)), ((65, 159), (65, 102)), ((65, 102), (107, 81)), ((107, 81), (164, 76)), ((164, 76), (169, 65)), ((65, 159), (75, 128)), ((75, 128), (127, 96)), ((127, 96), (174, 91)), ((174, 91), (191, 86)), ((65, 159), (91, 149)), ((91, 149), (138, 117)), ((138, 117), (169, 102)), ((169, 102), (190, 91)), ((65, 159), (107, 170)), ((107, 170), (132, 159)), ((132, 159), (153, 144)), ((153, 144), (174, 128))]","(17, 3, 186, 214)"
5,"[((78, 149), (78, 110)), ((78, 110), (78, 67)), ((78, 67), (78, 56)), ((78, 56), (78, 29)), ((78, 149), (68, 99)), ((68, 99), (121, 78)), ((121, 78), (148, 73)), ((148, 73), (165, 72)), ((78, 149), (78, 127)), ((78, 127), (132, 94)), ((132, 94), (170, 83)), ((170, 83), (192, 83)), ((78, 149), (99, 148)), ((99, 148), (143, 116)), ((143, 116), (175, 100)), ((175, 100), (197, 94)), ((78, 149), (116, 170)), ((116, 170), (137, 159)), ((137, 159), (159, 143)), ((159, 143), (176, 132))]","(25, 3, 182, 200)"
6,"[((73, 148), (74, 111)), ((74, 111), (74, 64)), ((74, 64), (74, 54)), ((74, 54), (74, 28)), ((73, 148), (64, 96)), ((64, 96), (105, 80)), ((105, 80), (141, 70)), ((141, 70), (156, 69)), ((73, 148), (74, 127)), ((74, 127), (130, 91)), ((130, 91), (161, 80)), ((161, 80), (177, 65)), ((73, 148), (94, 147)), ((94, 147), (140, 116)), ((140, 116), (171, 96)), ((171, 96), (192, 86)), ((73, 148), (110, 168)), ((110, 168), (135, 158)), ((135, 158), (156, 143)), ((156, 143), (172, 127))]","(20, 3, 184, 198)"
7,"[((166, 175), (178, 151)), ((178, 151), (190, 116)), ((190, 116), (202, 74)), ((202, 74), (225, 55)), ((166, 175), (108, 187)), ((108, 187), (79, 151)), ((79, 151), (67, 139)), ((67, 139), (55, 121)), ((166, 175), (125, 181)), ((125, 181), (102, 121)), ((102, 121), (67, 109)), ((67, 109), (50, 86)), ((166, 175), (144, 169)), ((144, 169), (120, 103)), ((120, 103), (96, 86)), ((96, 86), (67, 73)), ((0, 0), (0, 0)), ((0, 0), (0, 0)), ((126, 97), (108, 80)), ((108, 80), (85, 68))]","(43, 44, 192, 183)"
8,"[((0, 0), (0, 0)), ((0, 0), (0, 0)), ((74, 59), (74, 33)), ((74, 33), (167, 64)), ((64, 152), (64, 95)), ((64, 95), (115, 74)), ((115, 74), (172, 64)), ((172, 64), (187, 59)), ((64, 152), (74, 126)), ((74, 126), (125, 90)), ((125, 90), (192, 79)), ((192, 79), (187, 80)), ((64, 152), (94, 146)), ((94, 146), (136, 111)), ((136, 111), (166, 95)), ((166, 95), (187, 90)), ((64, 152), (110, 167)), ((110, 167), (131, 152)), ((131, 152), (156, 141)), ((156, 141), (172, 121))]","(15, 3, 186, 203)"
9,"[((73, 163), (73, 118)), ((73, 118), (78, 74)), ((78, 74), (89, 36)), ((89, 36), (84, 8)), ((73, 163), (63, 112)), ((63, 112), (116, 80)), ((116, 80), (138, 74)), ((138, 74), (155, 68)), ((73, 163), (78, 140)), ((78, 140), (128, 96)), ((128, 96), (160, 79)), ((160, 79), (182, 63)), ((73, 163), (95, 157)), ((95, 157), (138, 119)), ((138, 119), (171, 97)), ((171, 97), (187, 85)), ((73, 163), (116, 179)), ((116, 179), (138, 162)), ((138, 162), (160, 146)), ((160, 146), (176, 129))]","(20, 3, 184, 221)"
10,"[((164, 176), (129, 176)), ((129, 176), (78, 153)), ((78, 153), (66, 130)), ((66, 130), (49, 106)), ((164, 176), (106, 176)), ((106, 176), (78, 124)), ((78, 124), (66, 100)), ((66, 100), (49, 72)), ((164, 176), (130, 165)), ((130, 165), (95, 107)), ((95, 107), (78, 83)), ((78, 83), (66, 66)), ((164, 176), (147, 141)), ((147, 141), (119, 95)), ((119, 95), (101, 72)), ((101, 72), (83, 60)), ((164, 176), (165, 119)), ((165, 119), (148, 72)), ((148, 72), (153, 49)), ((153, 49), (158, 43))]","(42, 37, 177, 179)"
